Date;Time;<Дятьковская> СВ 110 кВ Ia;<Дятьковская> СР-1 110;
01.01.2022;00:00:00.000;103.015;1.0;
01.01.2022;00:30:00.000;97.239;1.0;
01.01.2022;01:00:00.000;102.874;1.0;
01.01.2022;01:30:00.000;91.684;1.0;
01.01.2022;02:00:00.000;97.516;1.0;
01.01.2022;02:30:00.000;104.058;1.0;
01.01.2022;03:00:00.000;114.096;1.0;
01.01.2022;03:30:00.000;122.890;1.0;
01.01.2022;04:00:00.000;140.321;1.0;
01.01.2022;04:30:00.000;140.812;1.0;
01.01.2022;05:00:00.000;138.299;1.0;
01.01.2022;05:30:00.000;142.090;1.0;
01.01.2022;06:00:00.000;155.933;1.0;
01.01.2022;06:30:00.000;164.567;1.0;
01.01.2022;07:00:00.000;162.428;1.0;
01.01.2022;07:30:00.000;161.625;1.0;
01.01.2022;08:00:00.000;168.832;1.0;
01.01.2022;08:30:00.000;164.379;1.0;
01.01.2022;09:00:00.000;158.514;1.0;
01.01.2022;09:30:00.000;163.197;1.0;
01.01.2022;10:00:00.000;151.149;1.0;
01.01.2022;10:30:00.000;156.342;1.0;
01.01.2022;11:00:00.000;156.637;1.0;
01.01.2022;11:30:00.000;155.626;1.0;
01.01.2022;12:00:00.000;161.414;1.0;
01.01.2022;12:30:00.000;162.527;1.0;
01.01.2022;13:00:00.000;163.542;1.0;
01.01.2022;13:30:00.000;165.560;1.0;
01.01.2022;14:00:00.000;165.780;1.0;
01.01.2022;14:30:00.000;163.519;1.0;
01.01.2022;15:00:00.000;162.324;1.0;
01.01.2022;15:30:00.000;168.515;1.0;
01.01.2022;16:00:00.000;164.486;1.0;
01.01.2022;16:30:00.000;171.011;1.0;
01.01.2022;17:00:00.000;172.486;1.0;
01.01.2022;17:30:00.000;173.454;1.0;
01.01.2022;18:00:00.000;174.540;1.0;
01.01.2022;18:30:00.000;172.723;1.0;
01.01.2022;19:00:00.000;169.257;1.0;
01.01.2022;19:30:00.000;171.704;1.0;
01.01.2022;20:00:00.000;175.006;1.0;
01.01.2022;20:30:00.000;171.524;1.0;
01.01.2022;21:00:00.000;151.528;1.0;
01.01.2022;21:30:00.000;150.382;1.0;
01.01.2022;22:00:00.000;148.066;1.0;
01.01.2022;22:30:00.000;132.018;1.0;
01.01.2022;23:00:00.000;132.579;1.0;
01.01.2022;23:30:00.000;121.722;1.0;
02.01.2022;00:00:00.000;112.187;1.0;
02.01.2022;00:30:00.000;115.348;1.0;
02.01.2022;01:00:00.000;110.360;1.0;
02.01.2022;01:30:00.000;114.682;1.0;
02.01.2022;02:00:00.000;112.951;1.0;
02.01.2022;02:30:00.000;112.603;1.0;
02.01.2022;03:00:00.000;117.828;1.0;
02.01.2022;03:30:00.000;133.339;1.0;
02.01.2022;04:00:00.000;142.115;1.0;
02.01.2022;04:30:00.000;143.230;1.0;
02.01.2022;05:00:00.000;141.146;1.0;
02.01.2022;05:30:00.000;148.753;1.0;
02.01.2022;06:00:00.000;151.513;1.0;
02.01.2022;06:30:00.000;149.896;1.0;
02.01.2022;07:00:00.000;147.618;1.0;
